run_id,binary_policy_action,count,rate
1000_labeled_no_llm_initial_policy_v2,accept_positive,759,0.759
1000_labeled_no_llm_initial_policy_v2,protected_negative,227,0.227
1000_labeled_no_llm_initial_policy_v2,accept_negative,14,0.014
1000_labeled_llm_initial_policy_v2,accept_positive,763,0.763
1000_labeled_llm_initial_policy_v2,protected_negative,216,0.216
1000_labeled_llm_initial_policy_v2,accept_negative,21,0.021
10000_no_llm_initial_policy_v2,protected_negative,4434,0.4434
10000_no_llm_initial_policy_v2,accept_positive,3407,0.3407
10000_no_llm_initial_policy_v2,accept_negative,2159,0.2159
1000_labeled_no_llm_stable_policy_v2,accept_positive,775,0.775
1000_labeled_no_llm_stable_policy_v2,conflict_review,192,0.192
1000_labeled_no_llm_stable_policy_v2,protected_negative,17,0.017
1000_labeled_no_llm_stable_policy_v2,accept_negative,16,0.016
1000_labeled_llm_stable_policy_v2,accept_positive,779,0.779
1000_labeled_llm_stable_policy_v2,conflict_review,181,0.181
1000_labeled_llm_stable_policy_v2,accept_negative,23,0.023
1000_labeled_llm_stable_policy_v2,protected_negative,17,0.017
10000_no_llm_stable_policy_v2_seed20260428,conflict_review,4227,0.4227
10000_no_llm_stable_policy_v2_seed20260428,accept_positive,3438,0.3438
10000_no_llm_stable_policy_v2_seed20260428,accept_negative,2288,0.2288
10000_no_llm_stable_policy_v2_seed20260428,protected_negative,47,0.0047
10000_no_llm_resample_full_on_seed2026042802,conflict_review,4216,0.4216
10000_no_llm_resample_full_on_seed2026042802,accept_positive,3370,0.337
10000_no_llm_resample_full_on_seed2026042802,accept_negative,2363,0.2363
10000_no_llm_resample_full_on_seed2026042802,protected_negative,51,0.0051
40276_full_no_llm_policy_v2_complete_20260429,conflict_review,16939,0.420573
40276_full_no_llm_policy_v2_complete_20260429,accept_positive,13831,0.343406
40276_full_no_llm_policy_v2_complete_20260429,accept_negative,9322,0.231453
40276_full_no_llm_policy_v2_complete_20260429,protected_negative,184,0.004568
