run_id,topic_final_group,count,rate
1000_labeled_no_llm_initial_policy_v2,urban,792,0.792
1000_labeled_no_llm_initial_policy_v2,nonurban,140,0.14
1000_labeled_no_llm_initial_policy_v2,unknown,68,0.068
1000_labeled_llm_initial_policy_v2,urban,802,0.802
1000_labeled_llm_initial_policy_v2,nonurban,162,0.162
1000_labeled_llm_initial_policy_v2,unknown,36,0.036
10000_no_llm_initial_policy_v2,nonurban,4387,0.4387
10000_no_llm_initial_policy_v2,urban,2907,0.2907
10000_no_llm_initial_policy_v2,unknown,2706,0.2706
1000_labeled_no_llm_stable_policy_v2,urban,792,0.792
1000_labeled_no_llm_stable_policy_v2,nonurban,140,0.14
1000_labeled_no_llm_stable_policy_v2,unknown,68,0.068
1000_labeled_llm_stable_policy_v2,urban,801,0.801
1000_labeled_llm_stable_policy_v2,nonurban,163,0.163
1000_labeled_llm_stable_policy_v2,unknown,36,0.036
10000_no_llm_stable_policy_v2_seed20260428,nonurban,4387,0.4387
10000_no_llm_stable_policy_v2_seed20260428,urban,2907,0.2907
10000_no_llm_stable_policy_v2_seed20260428,unknown,2706,0.2706
10000_no_llm_resample_full_on_seed2026042802,nonurban,4449,0.4449
10000_no_llm_resample_full_on_seed2026042802,urban,2968,0.2968
10000_no_llm_resample_full_on_seed2026042802,unknown,2583,0.2583
40276_full_no_llm_policy_v2_complete_20260429,nonurban,17706,0.439617
40276_full_no_llm_policy_v2_complete_20260429,urban,11945,0.296579
40276_full_no_llm_policy_v2_complete_20260429,unknown,10625,0.263805
